City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
"Henties Bay, NA",-22.116,14.2845,63.07,70,0,7.52
"Mulatupo, PA",8.9492,-77.7652,86.58,65,92,2.86
"Atar, MR",20.5169,-13.0499,91.96,21,0,17.78
"Garissa, KE",-0.4536,39.6401,86.99,53,97,15.32
"Nouadhibou, MR",20.931,-17.0347,65.37,83,0,18.77
"Iskandar, UZ",41.5539,69.7008,60.51,44,77,5.08
"East London, ZA",-33.0153,27.9116,63.45,76,21,16.31
"Barrow, US",71.2906,-156.7887,10.42,79,100,6.91
"Torbay, CA",47.6666,-52.7314,39.87,94,72,17.0
"Lavrentiya, RU",65.5833,-171.0,15.94,89,77,6.71
"Dalianwan, CN",39.0286,121.695,59.04,88,75,6.71
"Catuday, PH",16.2923,119.8062,82.2,75,31,5.82
"Hami, CN",42.8,93.45,66.43,21,74,8.79
"Coihaique, CL",-45.5752,-72.0662,40.95,87,100,5.75
"Ilulissat, GL",69.2167,-51.1,28.42,86,75,3.44
"Cidreira, BR",-30.1811,-50.2056,75.79,65,95,12.84
"Bontang, ID",0.1333,117.5,77.45,89,100,4.92
"New Norfolk, AU",-42.7826,147.0587,49.48,83,73,2.39
"Dingle, IE",52.1408,-10.2689,55.63,69,90,6.2
"Saint-Pierre, PM",46.7654,-56.1695,43.41,78,75,18.23
"Cabo San Lucas, MX",22.8909,-109.9124,76.87,70,0,6.91
"Mandiana, GN",10.6333,-8.6833,103.01,8,86,7.29
"Souillac, MU",-20.5167,57.5167,75.58,73,40,11.5
"Lexington, US",37.9887,-84.4777,76.98,57,75,18.41
"Walvis Bay, NA",-22.9575,14.5053,59.09,55,0,9.98
"Avarua, CK",-21.2078,-159.775,71.65,100,85,3.44
"Saint George, BM",32.3817,-64.6781,65.98,55,20,18.41
"Tagusao, PH",9.1924,117.8141,80.46,82,89,3.18
"Atuona, PF",-9.8,-139.0333,78.76,73,29,15.77
"Sao Filipe, CV",14.8961,-24.4956,77.52,63,2,8.63
"Adeje, ES",28.1227,-16.726,66.69,83,75,17.27
"Cabedelo, BR",-6.9811,-34.8339,86.67,79,100,12.75
"Fortuna, US",40.5982,-124.1573,54.0,84,20,4.61
"Buala, SB",-8.145,159.5921,80.17,82,92,4.56
"Algiers, DZ",36.7525,3.042,62.42,68,0,12.66
"Baoqing, CN",46.3317,132.2111,50.38,53,91,11.52
"Kavieng, PG",-2.5744,150.7967,81.81,73,22,8.32
"Muroto, JP",33.2833,134.15,65.64,88,100,2.64
"Alofi, NU",-19.0595,-169.9187,79.74,78,99,10.78
"Clayton, US",33.5335,-84.3666,79.74,55,75,9.22
"Progreso, MX",21.2833,-89.6667,91.11,56,0,12.66
"Vammala, FI",61.3333,22.9,50.7,58,94,6.46
"Los Llanos De Aridane, ES",28.6585,-17.9182,65.12,75,20,13.0
"Ribeira Grande, PT",38.5167,-28.7,64.8,59,20,13.8
"Akdepe, TM",42.0551,59.3788,65.71,38,100,17.98
"Richards Bay, ZA",-28.783,32.0377,66.69,90,100,14.72
"Kahului, US",20.8947,-156.47,73.58,83,40,20.71
"Ahipara, NZ",-35.1667,173.1667,61.2,84,46,6.93
"Yamada, JP",39.4667,141.95,54.68,84,100,6.8
"Bambous Virieux, MU",-20.3428,57.7575,75.45,73,40,11.5
"Abalak, NE",15.4509,6.2793,102.92,6,15,8.3
"Mae Hong Son, TH",19.3003,97.9685,81.07,56,25,1.43
"Inongo, CD",-1.95,18.2667,77.47,82,99,4.41
"Faanui, PF",-16.4833,-151.75,80.56,73,69,4.43
"Artyom, AZ",40.4723,50.333,59.14,64,85,4.63
"Ancud, CL",-41.8697,-73.8203,51.22,93,100,28.63
"Santa Maria, CV",16.6,-22.9,79.39,53,0,19.57
"Georgetown, SH",-7.9333,-14.4167,80.65,79,98,16.96
"Buenaventura, CO",3.8801,-77.0312,87.39,64,94,3.83
"Chokurdakh, RU",70.6333,147.9167,6.62,91,100,6.55
"Phan Thiet, VN",10.9333,108.1,78.96,86,15,1.72
"Bud, NO",62.9088,6.9145,46.35,74,94,15.79
"Hithadhoo, MV",-0.6,73.0833,85.15,72,45,7.85
"Tarrafal, CV",15.2833,-23.7667,84.99,74,3,14.25
"Mayo, CA",63.5927,-135.8998,38.68,88,99,1.72
"Cape Town, ZA",-33.9258,18.4232,60.67,70,0,11.01
"Sarakhs, IR",36.5449,61.1577,80.19,24,29,9.55
"Korla, CN",41.7597,86.1469,62.17,38,100,26.64
"Sobolevo, RU",54.4299,31.8996,49.01,93,100,3.38
"Platanos, GR",37.6667,21.6167,64.98,73,61,2.62
"Guerrero Negro, MX",27.9769,-114.0611,74.84,33,0,4.7
"Sioux Lookout, CA",50.1001,-91.917,22.17,90,100,12.06
"Roebourne, AU",-20.7833,117.1333,77.65,63,39,8.84
"Port Augusta, AU",-32.5,137.7667,63.77,74,100,5.17
"Adrar, DZ",25.75,-1.0,88.59,6,2,17.49
"Quelimane, MZ",-17.8786,36.8883,73.87,95,60,4.85
"Zyryanka, RU",65.75,150.85,9.9,96,91,9.6
"Lluta, PE",-16.0147,-72.0142,62.55,33,100,9.33
"Quiroga, MX",19.6667,-101.5333,83.66,16,3,2.75
"Portland, AU",-38.3333,141.6,57.4,80,100,6.71
"Nicoya, CR",10.1483,-85.452,90.14,48,59,2.04
"Touros, BR",-5.1989,-35.4608,86.02,59,32,13.35
"Pevek, RU",69.7008,170.3133,0.0,94,94,2.91
"Lima, PE",-12.0432,-77.0282,71.38,69,40,4.61
"Araouane, ML",18.9048,-3.5265,94.3,12,0,16.62
"Komsomolskiy, RU",43.9783,46.6985,55.78,69,1,8.28
"Sohag, EG",26.557,31.6948,88.14,9,0,7.81
"Nagato, JP",34.3833,131.2,62.2,92,96,14.52
"Nanortalik, GL",60.1432,-45.2371,35.1,90,87,10.74
"Bosaso, SO",11.2842,49.1816,84.13,73,80,4.09
"Christchurch, NZ",-43.5333,172.6333,45.75,84,58,2.3
"Zeya, RU",53.75,127.2667,30.56,49,98,4.45
"Tiksi, RU",71.6872,128.8694,-6.23,100,98,3.13
"Zaysan, KZ",47.4667,84.8667,47.25,66,100,6.78
"Lindas, NO",60.7381,5.16,50.05,73,54,12.53
"Abha, SA",18.2164,42.5053,64.65,68,40,6.91
"Longyearbyen, SJ",78.2186,15.6401,4.84,51,40,12.66
"Talnakh, RU",69.4865,88.3972,0.54,98,93,3.49
"Leinefelde, DE",51.3833,10.3333,47.5,78,99,6.04
"Coquimbo, CL",-29.9533,-71.3436,62.33,77,0,9.22
"Corning, US",42.1428,-77.0547,74.05,51,0,11.5
"Upernavik, GL",72.7868,-56.1549,20.53,82,29,1.36
"Korostyshiv, UA",50.3172,29.0563,56.73,82,100,5.59
"Kaitangata, NZ",-46.2817,169.8464,46.26,74,3,12.03
"Iqaluit, CA",63.7506,-68.5145,11.52,93,100,23.91
"Sao Joao Da Barra, BR",-21.6403,-41.0511,78.89,68,29,9.86
"Kulhudhuffushi, MV",6.6221,73.07,84.97,68,96,0.22
"Flinders, AU",-34.5833,150.8552,60.4,92,100,5.99
"Eureka, US",40.8021,-124.1637,54.45,84,100,3.0
"Hamilton, BM",32.2915,-64.778,66.99,57,20,18.41
"Foumban, CM",5.7291,10.9001,68.56,88,94,6.33
"Varna, RU",53.3819,60.9747,53.82,58,96,7.76
"Norman Wells, CA",65.282,-126.8329,35.01,90,100,5.75
"Khovu-Aksy, RU",51.1333,93.6,26.6,55,40,4.85
"Hofn, IS",64.2539,-15.2082,41.02,87,100,13.8
"Itoman, JP",26.1247,127.6694,76.84,96,75,12.66
"Kota Belud, MY",6.351,116.4305,76.84,90,100,3.4
"Chuy, UY",-33.6971,-53.4616,65.53,98,100,8.32
"Imatra, FI",61.1719,28.7524,43.11,70,100,1.01
"Portales, US",34.1862,-103.3344,55.6,29,16,11.63
"Minatitlan, MX",17.9833,-94.5167,86.09,70,40,11.5
"Termoli, IT",41.9888,14.9895,65.79,79,10,10.33
"Geraldton, AU",-28.7667,114.6,68.41,83,100,13.8
"Tuatapere, NZ",-46.1333,167.6833,43.57,84,25,6.78
"Saskylakh, RU",71.9167,114.0833,-8.46,100,80,3.65
"Marsh Harbour, BS",26.5412,-77.0636,75.07,63,13,13.89
"Panama City, US",30.1595,-85.6598,79.39,74,0,16.11
"Buba, GW",11.5833,-15.0,100.38,23,42,8.46
"Clyde River, CA",70.4692,-68.5914,12.81,92,100,13.35
"Chapais, CA",49.7834,-74.8492,38.98,95,100,12.17
"Hanzhong, CN",33.0728,107.0303,64.36,67,98,0.89
"Padang, ID",-0.9492,100.3543,77.97,87,100,3.47
"Kinsale, IE",51.7075,-8.5306,51.17,76,40,13.8
"Bulancak, TR",40.9372,38.2291,53.42,87,0,4.61
"Powell River, CA",49.8496,-124.5361,50.99,75,40,5.26
"Saint-Augustin, CA",51.226,-58.6502,39.72,97,98,9.89
"Rani, IN",25.3503,73.3089,87.58,23,0,8.57
"Praia Da Vitoria, PT",38.7333,-27.0667,59.63,68,3,14.32
"Yellowknife, CA",62.456,-114.3525,32.56,81,100,11.99
"Kamaishi, JP",39.2667,141.8833,55.04,85,100,8.3
"Half Moon Bay, US",37.4636,-122.4286,61.7,67,0,6.91
"Pangnirtung, CA",66.1451,-65.7125,27.77,92,100,8.88
"Kambove, CD",-10.8764,26.5969,62.96,96,36,4.43
"Port Alfred, ZA",-33.5906,26.891,59.18,82,50,1.99
"Margate, ZA",-30.8636,30.3705,66.65,68,33,19.22
"Yulin, CN",22.6333,110.15,75.74,94,15,7.36
"Galesong, ID",-5.3166,119.3661,77.02,85,58,6.15
"Vardo, NO",70.3705,31.1107,31.98,80,40,9.22
"Carutapera, BR",-1.195,-46.02,81.25,83,96,8.46
"Kysyl-Syr, RU",63.8986,122.7617,8.31,97,84,2.64
"Mpulungu, ZM",-8.7623,31.1141,72.07,88,91,2.04
"Guntakal, IN",15.1667,77.3833,94.51,26,85,9.4
"Humaita, BR",-7.5061,-63.0208,92.17,50,33,4.74
"Kuldur, RU",49.2167,131.6333,34.05,96,100,12.64
"Kutum, SD",14.2,24.6667,86.18,7,89,9.4
"Song Phi Nong, TH",14.2241,100.0209,85.12,70,25,11.92
"Ambanja, MG",-13.6833,48.45,76.46,89,48,1.12
"Qiqihar, CN",47.3408,123.9672,43.11,83,99,11.1
"Upata, VE",8.0086,-62.3989,88.66,46,59,3.2
"Harper, LR",4.375,-7.7169,81.18,81,100,6.93
"Olinda, BR",-8.0089,-34.8553,82.13,78,75,6.91
"Vostok, RU",46.4856,135.8833,39.63,76,100,5.19
"Obo, CF",5.3998,26.4869,72.36,82,99,2.82
"Baykit, RU",61.67,96.37,20.55,95,97,2.51
"Madingou, CG",-4.1536,13.55,78.48,84,98,2.19
"Porto Novo, CV",17.0197,-25.0647,80.6,73,5,13.85
"Tupik, RU",54.4253,119.9327,28.92,67,100,4.5
"Homer, US",59.6425,-151.5483,39.15,93,100,0.0
"Poya, NC",-21.35,165.15,67.87,73,89,5.59
"Sokoto, NG",13.0609,5.239,104.54,6,100,8.63
"Salalah, OM",17.0151,54.0924,84.29,70,0,5.75
"Nobeoka, JP",32.5833,131.6667,66.29,96,98,3.33
"Kruisfontein, ZA",-34.0033,24.7314,57.88,78,65,7.38
"Salekhard, RU",66.53,66.6019,23.99,95,72,6.08
"Ak-Dovurak, RU",51.1833,90.6,37.56,30,100,5.26
"Trebinje, BA",42.7119,18.3442,59.36,67,0,3.44
"Port Elizabeth, ZA",-33.918,25.5701,60.31,91,30,10.0
"Bogo, CM",10.7336,14.6093,99.21,23,100,6.76
"Wekiva Springs, US",28.6986,-81.4256,84.25,49,75,5.75
"Jibuti, DJ",11.5,42.5,79.34,70,59,14.52
"Valley City, US",46.9233,-98.0032,27.12,86,100,20.71
"Te Anau, NZ",-45.4167,167.7167,40.87,92,21,1.52
"Guaratinga, BR",-16.5667,-39.5667,88.65,42,30,9.57
"Inhambane, MZ",-23.865,35.3833,75.31,88,10,8.52
"Wageningen, SR",5.7667,-56.6833,86.43,69,48,3.31
"Yarmouth, CA",43.8335,-66.1156,55.42,61,46,5.35
"Hilo, US",19.7297,-155.09,70.27,93,75,4.61
"Dikson, RU",73.5069,80.5464,4.35,100,97,5.5
"Mount Gambier, AU",-37.8333,140.7667,54.57,80,93,4.76
"Asekeyevo, RU",53.5742,52.7972,54.91,76,99,6.58
"Aksu, KZ",52.0333,76.9167,37.38,45,100,1.95
"Solnechnyy, RU",50.7214,136.6319,20.59,90,78,3.29
"Port Macquarie, AU",-31.4333,152.9167,58.89,80,100,1.03
"Kudahuvadhoo, MV",2.6708,72.8944,84.88,65,29,4.03
"Hasaki, JP",35.7333,140.8333,59.4,89,98,6.06
"Ambon, ID",-3.6954,128.1814,78.94,89,40,5.75
"Poum, NC",-20.2333,164.0167,75.42,65,93,13.22
"La Ronge, CA",55.1001,-105.2842,27.14,57,15,10.63
"Turukhansk, RU",65.8167,87.9833,3.42,95,62,5.86
"Itarema, BR",-2.9248,-39.9167,78.91,85,93,10.76
"Arman, RU",59.7,150.1667,23.2,72,100,10.02
"Najran, SA",17.4924,44.1277,76.84,40,23,4.45
"Kurilsk, RU",45.2333,147.8833,36.59,67,45,6.13
"Honiara, SB",-9.4333,159.95,77.2,85,22,4.03
"Tucurui, BR",-3.7661,-49.6725,87.84,61,28,6.33
"Akureyri, IS",65.6835,-18.0878,43.27,88,100,2.84
"Hobyo, SO",5.3505,48.5268,84.02,70,30,12.26
"Jackson, US",42.4165,-122.8345,54.81,62,100,1.99
"Ati, TD",13.2154,18.3353,98.06,20,100,6.13
"Broome, AU",-17.9667,122.2333,80.55,89,45,6.91
"Sibolga, ID",1.7427,98.7792,76.71,92,100,2.26
"Berdigestyakh, RU",62.0989,126.6992,6.06,98,85,0.83
"Teahupoo, PF",-17.8333,-149.2667,71.56,76,20,6.64
"Linjiang, CN",41.8069,126.9078,54.7,97,87,3.44
"Srednekolymsk, RU",67.45,153.6833,0.01,99,91,4.59
"Vera Cruz, BR",-12.6333,-41.0333,86.2,39,40,9.22
"Mujiayingzi, CN",42.1167,118.7833,60.62,22,50,16.2
"Shubarkuduk, KZ",49.1447,56.4872,52.25,37,100,4.88
"Naze, JP",28.3667,129.4833,71.83,92,31,13.49
"Onomichi, JP",34.4167,133.2,61.07,88,100,2.19
"Ponta Do Sol, CV",17.1994,-25.0919,80.38,77,5,13.71
"Seymchan, RU",62.8833,152.4333,8.98,89,99,7.11
"Deputatskiy, RU",69.3,139.9,0.34,99,100,2.48
"Yumen, CN",40.2833,97.2,54.3,15,48,19.42
"Cortland, US",42.6001,-76.083,68.43,57,0,9.22
"Wasilla, US",61.5814,-149.4394,41.59,78,100,3.44
"Rantauprapat, ID",2.1,99.8333,74.8,98,100,3.11
"Arlit, NE",18.7369,7.3853,101.41,4,0,14.9
"Gizo, SB",-8.103,156.8419,81.39,76,91,3.56
"Plattsburgh, US",44.6995,-73.4529,62.02,40,75,17.27
"Namibe, AO",-15.1961,12.1522,72.28,77,2,7.74
"Rairangpur, IN",22.2676,86.1751,86.45,35,2,4.74
"Dudinka, RU",69.4058,86.1778,-0.56,98,98,6.17
"Mogadishu, SO",2.0371,45.3438,83.35,70,24,14.54
"Kampong Cham, KH",11.9934,105.4635,84.31,70,76,8.77
"Haines Junction, CA",60.7522,-137.5108,36.95,88,99,3.13
"Svetlyy, RU",54.675,20.1347,44.65,87,98,8.93
"Sayan, PE",-11.1361,-77.1933,78.37,51,99,8.21
"Izvestkovyy, RU",48.9833,131.55,34.12,98,100,11.32
"Songkhla, TH",6.8333,100.6667,77.05,94,100,1.7
"Santa Marinella, IT",42.0345,11.8536,59.13,91,5,12.75
"Barcelona, PH",8.1592,126.4342,79.2,84,88,1.12
"Gniezno, PL",52.5348,17.5826,48.81,81,100,8.84
"Basco, PH",20.4487,121.9702,81.41,86,1,19.1
"Cockburn Town, TC",21.4612,-71.1419,77.58,69,98,16.42
"Boguchany, RU",58.3814,97.4531,24.35,99,90,3.4
"Ca Mau, VN",9.1769,105.15,80.69,81,99,3.04
"Kurumkan, RU",54.3,110.3,25.72,53,3,5.17
"San Andres, CO",12.5847,-81.7006,87.82,70,40,13.8
"Wrzesnia, PL",52.3251,17.5652,49.05,81,100,7.87
"Morehead, PG",-8.7107,141.6367,76.01,95,60,2.53
"Booue, GA",-0.0921,11.9385,80.04,82,100,2.33
"Klaksvik, FO",62.2266,-6.589,43.72,85,90,18.97
"Tautira, PF",-17.7333,-149.15,80.19,75,18,6.29
"Nangong, CN",37.3581,115.3744,71.42,63,0,13.09
"Oriximina, BR",-1.7656,-55.8661,83.95,76,90,4.68
"Sinnamary, GF",5.3833,-52.95,83.37,74,97,9.53
"Zihuatanejo, MX",17.6333,-101.55,86.09,66,0,8.05
"Plettenberg Bay, ZA",-34.0527,23.3716,58.39,74,32,4.79
"Luderitz, NA",-26.6481,15.1594,62.28,58,0,19.04
"Ketchikan, US",55.3422,-131.6461,44.58,94,100,3.4
"Cayenne, GF",4.9333,-52.3333,84.09,5,20,14.97
"Port Blair, IN",11.6667,92.75,82.44,83,20,2.3
"Tessalit, ML",20.1986,1.0114,92.75,10,0,19.64
"Lebedinyy, RU",58.5167,125.5167,20.93,95,100,4.81
"Malanje, AO",-9.5402,16.341,68.23,86,82,2.84
"Mazagao, BR",-0.115,-51.2894,93.25,61,46,6.04
"Samana, DO",19.2056,-69.3369,82.62,78,40,13.8
"Canico, PT",32.6333,-16.85,65.39,92,75,0.0
"Nayudupeta, IN",13.9,79.9,83.14,69,7,10.0
"Camacupa, AO",-12.0167,17.4833,66.43,68,11,4.83
"Nenjiang, CN",49.1833,125.2167,35.1,96,100,19.48
"Yarada, IN",17.65,83.2667,86.32,79,40,3.44
"Praia, CV",14.9215,-23.5087,84.74,37,0,20.71
"Nieuw Amsterdam, SR",5.8833,-55.0833,79.38,86,40,5.75
"Ballangen, NO",68.3428,16.8315,32.22,80,75,17.27
"Laishevo, RU",55.4046,49.5504,53.82,87,86,7.16
"Nalut, LY",30.3333,10.85,86.86,7,7,19.1
"Noshiro, JP",40.2039,140.0242,56.14,87,100,6.11
"Wencheng, CN",33.0559,113.7978,62.85,87,6,4.41
"Daru, PG",-9.0763,143.2092,78.89,87,98,5.46
"Harindanga, IN",22.0383,88.3214,82.6,87,0,14.88
"Juneau, US",58.3019,-134.4197,41.67,96,100,3.44
"Nelson Bay, AU",-32.7167,152.15,59.92,95,100,5.84
"Charlestown, KN",17.1333,-62.6167,76.93,72,100,15.82
"Vallenar, CL",-28.5708,-70.7581,78.31,28,0,6.06
"Iralaya, HN",15.0,-83.2333,80.65,82,17,10.04
"Zheleznodorozhnyy, RU",55.7503,38.0042,57.42,70,100,4.97
"Junin, AR",-34.5838,-60.9433,77.47,23,0,14.43
"Rocha, UY",-34.4833,-54.3333,66.33,98,100,4.76
"Manicore, BR",-5.8092,-61.3003,92.34,47,84,4.88
"Westport, IE",53.8,-9.5167,55.81,61,88,7.76
"Wattegama, LK",6.7989,81.4808,76.95,88,61,1.03
"Roald, NO",62.5833,6.1333,44.92,87,75,9.22
"Gaoua, BF",10.2992,-3.2508,102.07,11,100,2.98
"Chumikan, RU",54.7183,135.315,21.97,92,8,5.75
"Manokwari, ID",-0.8667,134.0833,78.76,81,28,2.35
"Zalesovo, RU",53.9939,84.7431,36.7,74,26,3.65
"Ponta Do Sol, PT",32.6667,-17.1,64.92,98,57,10.29
"Luanda, AO",-8.8368,13.2343,78.12,81,64,11.88
"Santa Fe, CU",23.1292,-82.2613,82.29,62,1,17.45
"Keti Bandar, PK",24.1447,67.4497,82.53,73,0,13.56
"Udachnyy, RU",66.4167,112.4,4.39,100,62,2.24
"Kapustin Yar, RU",48.5831,45.7372,63.55,45,6,9.78
"Ibra, OM",22.6906,58.5334,86.9,21,4,8.32
"Oyama, JP",36.3,139.8,69.58,73,100,2.48
"Hervey Bay, AU",-25.2986,152.8535,71.02,73,100,7.0
"Fort William, GB",56.8165,-5.1121,53.31,72,100,5.01
"Katsuura, JP",35.1333,140.3,66.63,92,98,2.84
"Mancio Lima, BR",-7.6142,-72.8958,82.09,80,93,3.96
"Mezen, RU",65.8522,44.24,34.12,93,100,5.53
"Aykhal, RU",66.0,111.5,10.02,93,90,3.58
"Hokitika, NZ",-42.7167,170.9667,51.57,82,73,6.96
"Madimba, TZ",-10.4,40.3333,78.66,86,99,6.53
"Pangkalanbuun, ID",-2.6833,111.6167,75.78,97,100,0.56
"Grand Gaube, MU",-20.0064,57.6608,76.37,69,3,5.01
"Nome, US",64.5011,-165.4064,30.27,93,100,5.75
"San Francisco, AR",-31.428,-62.0827,81.88,62,38,0.18
"Porto Santo, PT",33.072,-16.3415,64.78,77,20,6.91
"Nishihara, JP",26.1842,127.7558,75.72,97,75,12.66
"Suluq, LY",31.6682,20.2521,78.87,29,92,18.21
"Zhicheng, CN",30.2956,111.5047,68.61,86,100,2.98
"Nosy Varika, MG",-20.5833,48.5333,74.41,80,57,5.26
"Neuquen, AR",-38.9516,-68.0591,64.29,24,0,16.11
"Morki, RU",56.4303,48.9947,49.37,92,85,5.17
"Lemon Tree Passage, AU",-32.7327,152.036,59.72,95,100,4.43
"Paita, PE",-5.0892,-81.1144,72.84,74,78,11.86
"Longkou, CN",37.6508,120.3286,55.53,95,60,8.61
"San Borja, BO",-14.8167,-66.85,87.69,64,100,5.21
"Yinchuan, CN",38.4681,106.2731,66.09,22,96,11.99
"Namangan, UZ",40.9983,71.6726,64.85,68,36,6.91
"Tra Vinh, VN",9.9347,106.3453,80.56,81,97,4.56
"Taoudenni, ML",22.6783,-3.9836,90.81,14,0,20.18
"Belmonte, BR",-15.8631,-38.8828,83.95,62,6,9.75
"Russell, NZ",-35.2613,174.1236,55.24,96,32,3.76
"Hirtshals, DK",57.5881,9.9592,47.77,63,5,8.97
"Puro, PH",12.4841,123.3827,80.76,83,96,10.18
"Gamba, GA",-2.65,10.0,79.52,82,94,6.62
"Seredka, RU",58.1584,28.1858,46.15,93,94,6.33
"Novyy Urengoy, RU",66.0833,76.6333,7.59,97,48,6.62
"Cururupu, BR",-1.8283,-44.8683,81.77,84,96,6.11
"Husavik, IS",66.0449,-17.3389,43.66,74,82,3.83
